"Label","Eqpt ID(Hex)","Parameter Name","Units","Range(Scale)","Sig Bits","Pos Sense","Resolution","Min Transit Interval(msec) 2","Max Transit Interval(msec) 2","Max Trans-port Delay(msec) 3","Notes & Cross Ref. to Tables and Attachments"
,"0 2 C","Fuel Quantity (Tanks) #1                ","Lbs.     ",131072,15,,4,500,1000,,
,"0 5 6","Time for Climb","Min.     ",512,9,,1,100,200,,
,"0 5 A","Fuel Quantity-Left Outer Cell","Lbs.",131072,15,,4,100,200,,"Zero  for A-321"
,"0 6 0","Time for Climb","Min.     ",512,9,,1,100,200,,
,"1 1 4","Left Outer Tank Fuel Quantity                ","Lbs.",131072,15,,4,,,,
,"1 4 0","Equivalent Airspeed","Knots",1024,14,,0.0625,62.5,125,,
,,,,,,,,,,,
"2 5 7","0 0 2","Time For Descent                        ","Min.     ",512,9,,1,100,200,,
,"0 2 C","Fuel Quantity (Tanks) #2                ","Lbs.     ",131072,15,,4,500,1000,,
,"0 5 6","Time for Descent","Min.     ",512,9,,1,100,200,,
,"0 5 A","Fuel Quantity Left W/T Tank","Lbs.",131072,15,,4,100,200,,
,"0 6 0","Time for Descent","Min.     ",512,9,,1,100,200,,
,"1 1 4","Fuel Quantity (Tanks) #2                ","Lbs.     ",131072,15,,4,500,1000,,
,"1 4 0","Total Pressure (High Range)","mb",4096,17,,0.03125,62.5,125,,
,,,,,,,,,,,
"2 6 0","0 2 C","Fuel Quantity (Tanks) #3                ","Lbs.     ",131072,15,,4,500,1000,,
,"0 5 A","Fuel Quantity Center Tank","Lbs.",131072,15,,4,100,200,,
,"0 3 3","T5                                      ","Deg C    ",1024,12,,0.25,150,250,,"See Note [5]"
,"1 0 A","LP Turbine Discharge Temp       ","Deg C    ","-55 to 850",11,,0.5,100,500,,
,"1 0 B","LP Turbine Discharge Temperature        ","Deg C    ","-55 to 850",11,,0.5,100,500,,
,"1 1 4","Collector Cell 1 and 2 Fuel Quantity                ","Lbs.",131072,15,,4,,,,
,,,,,,,,,,,
"2 6 1","0 2 C","Fuel Quantity (Tanks) #4                ","Lbs.     ",131072,15,,4,500,1000,,
,"0 3 3","P49                                     ","PSIA     ",128,14,,0.008,150,250,,
,"0 5 A","Fuel Qty Right I/C or W/T Tank","Lbs.",131072,15,,4,100,200,,
,"1 0 A","LP Turbine Inlet Pressure               ","PSIA     ",02/01/20,11,,0.125,100,500,,
,"1 0 B","LP Turbine Inlet Pressure               ","PSIA     ",02/01/20,11,,0.125,100,500,,
,"1 1 4","Fuel on Board at Engine Start                ","Lbs.",131072,15,,4,,,,
,"1 4 4","Range Ring Radius","NM",512,15,,01/01/64,800,1200,,06/01/52
,,,,,,,,,,,
"2 6 2","0 0 2","Documentary Data                        ","         ",,,,,500,1000,,06/14/13
,"0 0 A","Predicitive Airspeed Variation          ","Knots    ",256,10,,0.25,100,200,,
,"0 1 C","LP Compressor Exist Pres. (PT3)      ","PSIA     ",64,13,,0.008,100,200,,
,"0 2 C","Fuel Quantity (Tanks) #5                ","Lbs.     ",131072,15,,4,500,1000,,
,"0 3 3","LP Compressor Exist Pressure            ","PSIA     ",64,14,,0.004,150,250,,
,"0 4 D","T/U Cap-L Tank 1-4","PF",655.35,16,,0.01,"TBD","TBD",,
,"0 5 A","Fuel Quantity-Right Outer Cell","Lbs.",131072,15,,4,100,200,,
,"1 0 A","HP Compressor Inlet Total Pres.     ","PSIA     ",02/01/50,11,,0.032,100,500,,
,"1 0 B","HP Compressor Inlet Total Pres.   ","PSIA     ",02/01/50,11,,0.032,100,500,,
,"1 1 4","Center Tank Fuel Quantity                ","Lbs.",131072,15,,4,,,,
,"1 4 4","Display Range","NM",512,14,,01/01/32,800,1200,,06/01/51
,,,,,,,,,,,
"2 6 3","0 0 2","Min. Airspeed for Flap Retraction        ","Knots    ",512,11,,0.25,500,1000,50,
,"0 0 A","Min. Airspeed for Flap Retraction       ","Knots    ",512,11,,0.25,100,200,,
,"0 1 C","LP Compressor Exit Temperature        ","         ",256,12,,0.06,100,200,,
,"0 2 C","Fuel Quantity (Tanks) #6                ","Lbs     ",131072,15,,4,500,1000,,
,"0 3 3","LP Compressor Exit Temperature         ","Deg C    ",256,12,,0.063,150,250,,
,"0 4 D","T/U Cap-L Tank 5-8","PF",655.35,16,,0.01,"TBD","TBD",,
,"0 5 6","Min. Airspeed for Flap Retraction","Knots    ",512,11,,0.25,500,1000,,
,"0 6 0","Min. Airspeed for Flap Retraction","Knots    ",512,11,,0.25,500,1000,,
,"1 0 A","Selected Compressor Inlet Temperature (Total)  ","Deg C    ","-55 to 160",11,,0.125,100,500,,
,"1 0 B","Selected Compressor Inlet Temp (Total)  ","Deg C    ","-55 to 160",11,,0.125,100,500,,
,"1 1 4","Collector Cell 3 and 4 Fuel Quantity                ","Lbs.",131072,15,,4,,,,
,,,,,,,,,,,
"2 6 4","0 0 2","Time To Touchdown                       ","Min.     ",2048,11,,1,100,200,145,
,"0 0 A","Min. Airspeed for Slats Retraction       ","Knots    ",512,11,,0.25,100,200,,
,"0 1 C","HP Compressor Exit Pressure             ","         ",512,14,,0.03,100,200,,
,"0 2 C","Fuel Quantity (Tanks) #7                ","Lbs.     ",131072,15,,4,500,1000,,
,"0 2 F","Burner Pressure                         ","PSIA     ",512,14,,0.03,100,200,,
,"0 4 D","T/U Cap-L Tank 9-12","PF",655.35,16,,0.01,"TBD","TBD",,
,"0 3 3","HP Compressor Exit Pressure             ","PSIA     ",512,14,,0.03,150,250,,
,"0 3 F","Burner Pressure                         ","PSIA     ",512,14,,0.03,100,200,,
,"0 5 6","Time to Touchdown","Min.     ",2048,11,,1,100,200,,
,"0 6 0","Time to Touchdown","Min.     ",2048,11,,1,100,200,,
,"1 0 A","Selected Compressor Dischg Pres.","PSIA     ",05/01/00,11,,1,62.5,250,,
,"1 0 B","Selected Compressor Dischg Pres.","PSIA     ",05/01/00,11,,1,62.5,250,,
,"1 3 A","Burner Pressure","PSIA",512,14,,0.031,100,200,,
,,,,,,,,,,,
"2 6 5","0 0 2","Min. Buffet Airspeed                     ","Knots    ",512,11,,0.25,50,100,50,
,"0 0 4","Integrated Vertical Acceleration        ","Ft/Sec   ","?256",20,"UP",0.000244,,20,,
,"0 0 A","Maneuvering Airspeed                    ","Knots    ",512,11,,0.25,100,200,,
,"0 1 C","HP Compressor Exit Temp (TT4.5)         ","         ",1024,12,,0.25,100,200,,
,"0 2 C","Fuel Quantity (Tanks) #8                ","Lbs.     ",131072,15,,4,500,1000,,
,"0 3 3","HP Compressor Exit Temperature         ","Deg C    ",1024,12,,0.25,150,250,,
,"0 3 8","Integrated Vertical Acceleration        ","Ft/Sec   ","?256",20,"UP",0.000244,,20,,
,"0 4 D","T/U Cap-L Tank 13-14","PF",655.35,16,,0.01,"TBD","TBD",,
,"0 5 6","Min. Buffet Airspeed","Knots    ",512,11,,0.25,50,100,,
,"0 6 0","Min. Buffet Airspeed","Knots    ",512,11,,0.25,50,100,,
,"1 0 A","Selected Compressor Dischg Temp","Deg C    ","-55 to 650",11,,0.5,100,500,,
,"1 0 B","Selected Compressor Dischg Temp      ","Deg C    ","-55 to 650",11,,0.5,100,500,,
,"1 1 4","Inner Tank 3 Fuel Quantity","Lbs.",131072,15,,4,,,,
,,,,,,,,,,,
"2 6 6","0 4 D","T/U Cap-C Tank 1-4","PF",655.35,16,,0.01,"TBD","TBD",,
,"1 1 4","Inner Tank 2 Fuel Quantity","Lbs.",131072,15,,4,,,,
,,,,,,,,,,,
"2 6 7","0 0 2","Maximum Maneuver Airspeed                  ","Knots    ",512,11,,0.25,500,1000,50,
,"0 0 A","Predictive Max. Maneuver Speed       ","Knots    ",512,11,,0.25,100,200,,
,"0 2 B","Throttle Position Command               ","Deg/180  ","?180",12,,0.05,50,100,,
,"0 4 D","T/U Cap-C Tank 5-8","PF",655.35,16,,0.01,"TBD","TBD",,
,"0 3 3","Spare T/C                               ","Deg C    ",256,12,,0.063,150,250,,
,"0 5 6","Max. Maneuver Airspeed","Knots    ",512,11,,0.25,500,1000,,
,"0 6 0","Max. Maneuver Airspeed","Knots    ",512,11,,0.25,500,1000,,
,"1 0 A","HP Compressor Inlet Temp. (total) ","Deg C    ","-55 to 160",11,,0.125,500,1000,,
,"1 0 B","HP Compressor Inlet Temperature","Deg C    ","-55 to 160",11,,0.125,500,1000,,
,"1 1 4","Inner Tank 4 Fuel Quantity","Lbs.",131072,15,,4,,,,
,,,,,,,,,,,
"2 7 0","0 4 D","T/U Cap-C Tank 9","PF",655.35,16,,0.01,"TBD","TBD",,
,"1 1 5","Stored TACAN Control Word",,,,,,25,50,,"See ARINC 429P2"
,,,,,,,,,,,
"2 7 1","0 4 D","T/U Cap-A Tank 1-4","PF",655.35,16,,0.01,"TBD","TBD",,
,,,,,,,,,,,
"2 7 2","0 4 D","T/U Cap Tank 5-8","PF",655.35,16,,0.01,"TBD","TBD",,
,,,,,,,,,,,
"2 7 3","0 4 D","T/U Cap-A Tank 9-11","PF",655.35,16,,0.01,"TBD","TBD",,
,,,,,,,,,,,
"2 7 4","0 4 D","T/U Cap-R Tank 1-4","PF",655.35,16,,0.01,"TBD","TBD",,
,,,,,,,,,,,
"2 7 5","0 4 D","T/U Cap-R Tank 5-8","PF",655.35,16,,0.01,"TBD","TBD",,
,,,,,,,,,,,
"2 7 6","0 0 1","FCC to Simulator Control Word",,,,,,50,150,,"Used only in simulator"
,"0 0 2","FMC to Simulator Control Word",,,,,,33,100,,"Used only in simulator"
,"0 0 3","TCC to Simulator Control Word",,,,,,50,150,,"Used only in simulator"
,"0 4 D","T/U Cap-R Tank 9-12","PF",655.35,16,,0.01,"TBD","TBD",,
,,,,,,,,,,,
"2 7 7","0 4 D","T/U Cap-R Tank 13-14","PF",655.35,16,,0.01,"TBD","TBD",,
,,,,,,,,,,,
"3 0 0","1 0 A","ECU Internal Temperature               ","Deg C    ","-55 to 125",11,,0.125,500,1000,,
"       ","1 0 B","ECU Internal Temperature               ","Deg C    ","-55 to 125",11,,0.125,500,1000,,
,,,,,,,,,,,
"3 0 1","1 0 A","Demanded Fuel Metering Valve Pos","%        ",100,11,,0.063,62.5,250,,
,"1 0 B","Demanded Fuel Metering Valve Pos","%        ",100,11,,0.063,62.5,250,,
,,,,,,,,,,,
"3 0 2","1 0 A","Demanded Variable Stator Vane Pos","%        ",100,11,,0.063,100,500,,
,"1 0 B","Demanded Variable Stator Vane Pos","%        ",100,11,,0.063,100,500,,
,,,,,,,,,,,
"3 0 3","1 0 A","Demanded Variable Bleed Valve Pos","%        ",100,11,,0.063,100,500,,
,"1 0 B","Demanded Variable Bleed Valve Pos","%        ",100,11,,0.063,100,500,,
,,,,,,,,,,,
"3 0 4","1 0 A","Demanded HPT Clearance Valve Pos","%        ",100,11,,0.063,250,1000,,
,"1 0 B","Demanded HPT Clearance Valve Pos ","%        ",100,11,,0.063,250,1000,,
,,,,,,,,,,,
"3 0 5","1 0 A","Demanded LPT Clearance Valve Pos","%        ",100,11,,0.063,250,1000,,
,"1 0 B","Demanded LPT Clearance Valve Pos","%        ",100,11,,0.063,250,1000,,
,,,,,,,,,,,
"3 1 0","0 0 2","Present Position - Latitude            ","Deg/180  ","0-180N/
0-180S",20,,0.000172,100,200,,06/27/13
,"0 0 4","Present Position - Latitude            ","Deg/180  ","0-180N/
0-180S",20,,0.000172,100,200,,
,"0 2 9","Aileron Position                       ","Deg/180  ","?180",11,,0.088,50,100,,
,"0 3 8","Present Position - Latitude            ","Deg/180  ","0-180N/
0-180S",20,,0.000172,100,200,,
,"0 4 D","Comp Cap-Tank","PF",327.67,15,,0.01,"TBD","TBD",,
,"0 5 6","Present Position Latitude","Deg/180  ","0-180N/
0-180S",20,,0.000172,100,200,,
,"0 6 0","Present Position Latitude","Deg/180  ","0-180N/
0-180S",20,,0.000172,100,200,,
,"1 1 4","Right Outer Tank Fuel Quantity               ","Lbs.",131068,15,,4,,,,
,,,,,,,,,,,
"3 1 1","0 0 2","Present Position - Longitude           ","Deg/180  ","0-180E/
0-180W",20,,0.000172,100,200,,
,"0 0 4","Present Position - Longitude           ","Deg/180  ","0-180E/
0-180W",20,,0.000172,100,200,,
,"0 2 9","Aileron Trim                           ","Deg/180  ","?180",11,,0.088,50,100,,
,"0 3 8","Present Position - Longitude           ","Deg/180  ","0-180E/
0-180W",20,,0.000172,100,200,,"
"
,"0 3 B","Control Wheel Roll Force               ","Lbs.      ",64,10,,0.0625,150,250,,
,"0 5 6","Present Position Longitude","Deg/180  ","0-180E/
0-180W",20,,0.000172,100,200,,
,"0 6 0","Present Position Longitude","Deg/180  ","0-180E/
0-180W",20,,0.000172,100,200,,
,"1 1 4","Trim Tank Fuel Quantity              ","Lbs.",131072,15,,4,,,,
,,,,,,,,,,,
"3 1 2","0 0 2","Ground Speed                           ","Knots    ",4096,15,,0.125,25,50,,
,"0 0 4","Ground Speed                           ","Knots    ",4096,15,,0.125,25,50,,
,"0 0 5","Ground Speed                           ","Knots    ",4096,15,,0.125,25,50,,
,"0 2 9","Rudder Position                        ","Deg/180  ","?180",11,,0.088,50,100,,
,"0 3 8","Ground Speed                           ","Knots    ",4096,15,,0.125,25,50,,
,"0 5 6","Ground Speed","Knots    ",4096,15,,0.125,25,50,,
,"0 5 A","Fuel Quantity ACT 1","Lbs.",131072,15,,4,100,200,,
,"0 6 0","Ground Speed","Knots    ",4096,15,,0.125,25,50,,
,"1 1 4","Additional Center Tank (Act 1) Fuel Quantity","Lbs.",131072,15,,4,,,,
,,,,,,,,,,,
"3 1 3","0 0 2","Track Angle - True                     ","Deg/180  ","?180",12,,0.05,25,50,,
,"0 0 4","Track Angle - True                     ","Deg/180  ","?180",15,,0.0055,25,50,,
,"0 2 5","Track Angle - True                     ","Deg/180  ","?180",10,,0.2,125,250,,
,"0 2 9","Rudder Trim                            ","Deg/180  ","?180",11,,0.088,50,100,,
,"0 3 8","Track Angle - True                     ","Deg/180  ","?180",15,,0.0055,25,50,,
,"0 5 6","Track Angle - True","Deg/180  ","?180",12,,0.05,25,50,,
,"0 5 A","Fuel Quantity ACT 2","Lbs.",131072,15,,4,100,200,,
,"0 6 0","Track Angle - True","Deg/180  ","?180",12,,0.05,25,50,,
,"1 1 4","Additional Center Tank (Act 2) Fuel Quantity              ","Lbs.",131072,15,,4,,,,
,,,,,,,,,,,
"3 1 4","0 0 2","Stabilizer Pos Indication (B747-400)   ","Deg/180  ","?180",12,"TE Down",0.05,25,50,50,
,"0 0 4","True Heading                           ","Deg/180  ","?180",15,,0.0055,25,50,,
,"0 2 5","True Heading                           ","Deg/180  ","?180",10,,0.2,125,250,,
,"0 2 9","Elevator Position                      ","Deg/180  ","?180",11,,0.088,50,100,,
,"0 3 8","True Heading                           ","Deg/180  ","?180",15,,0.0055,25,50,,
,"0 3 B","Control Wheel Pitch Force              ","Lbs.     ",64,10,,0.0625,150,250,,
,"1 1 4","Rear Center tank (RCT) Fuel Quantity","Lbs.",131072,15,,4,,,,
,,,,,,,,,,,
"3 1 5","0 0 1","Stabilizer Position                    ","Deg/180  ","?180",12,"TE Down",0.05,25,50,,
,"0 0 2","Wind Speed                             ","Knots    ",256,8,,1,50,100,,
,"0 0 4","Wind Speed                             ","Knots    ",256,8,,1,50,100,,
,"0 0 5","Wind Speed                             ","Knots    ",256,8,,1,50,100,,
,"0 2 9","Stabilizer Position                    ","Deg/180  ","?180",11,"TE Down",0.088,50,100,,
,"0 3 8","Wind Speed                             ","Knots    ",256,8,,1,50,100,,
,"0 5 6","Wind Speed","Knots    ",256,8,,1,50,100,,
,"0 6 0","Wind Speed","Knots    ",256,8,,1,50,100,,
,"0 A 1","Stabilizer Position                    ","Deg/180  ","?180",12,"TE Down",0.05,25,50,,
,,,,,,,,,,,
"3 1 6","0 0 2","Wind Direction (True)                  ","Deg/180  ",180,12,"CW from north",0.05,25,50,50,
,"0 0 4","Wind Angle                             ","Deg/180  ","?180",8,,0.7,50,100,,
,"0 2 9","Oil Temperature (Engine)               ","Deg C    ",2048,12,,0.5,100,200,,
,"0 3 8","Wind Angle                             ","Deg/180  ","?180",8,,0.7,50,100,,
,"0 5 6","Wind Direction (True)","Deg/180  ",180,12,"CW from north",0.05,25,50,50,
,,,,,,,,,,,
,"0 6 0","Wind Direction (True)","Deg/180  ",180,12,"CW from north",0.05,25,50,50,
,"1 0 A","Engine Oil Temperature                 ","Deg C    ","-55 to 170",11,,1,250,1000,,
,"1 0 B","Engine Oil Temperature                 ","Deg C    ","-55 to 170",11,,1,250,1000,,
,"0 D 0","Engine Oil Temperature","Deg C",2048,12,,0.5,,,,"SDI 1=L   SDI 2 =R"
,,,,,,,,,,,
"3 1 7","0 0 2","Track Angle - Magnetic                 ","Deg/180  ","?180",12,,0.05,25,50,,
,"0 0 4","Track Angle - Magnetic                 ","Deg/180  ","?180",15,,0.0055,25,50,,
,"0 0 5","Track Angle - Magnetic                 ","Deg/180  ","?180",15,,0.0055,25,50,,
,"0 2 5","Track Angle - Magnetic                 ","Deg/180  ","?180",10,,0.2,125,250,,
,"0 2 9","Oil Pressure (Engine)                  ","PSI      ",4096,12,,1,50,100,,
,"0 3 8","Track Angle - Magnetic                 ","Deg/180  ","?180",15,,0.0055,25,50,,
,"0 5 6","Track Angle Magnetic","Deg/180  ","?180",12,,0.05,25,50,,
,"0 6 0","Track Angle Magnetic","Deg/180  ","?180",12,,0.05,25,50,,
,"0 D 0","Engine Oil Pressure","PSI",4096,14,,0.25,,,,"SDI 1 = L/SDI 2 = R"
,,,,,,,,,,,
"3 2 0","0 0 4","Magnetic Heading                       ","Deg/180  ","?180",15,,0.0055,25,50,,
,"0 0 5","Magnetic Heading                       ","Deg/180  ","?180",15,,0.0055,25,50,,
,"0 2 5","Magnetic Heading                       ","Deg/180  ","?180",10,,0.2,125,250,,
,"0 3 5","Own A/C Magnetic Heading               ","Deg/180  ","?180",15,,0.0055,25,500,,"See ARINC 735"
,"0 3 8","Magnetic Heading                       ","Deg/180  ","?180",15,,0.0055,25,50,,
,"0 4 D","Density-Tank","Lb/Gal",8.191,13,,0.001,"TBD","TBD",,
,,,,,,,,,,,
"3 2 1","0 0 2","Drift Angle                            ","Deg/180  ","?180",12,,0.05,25,50,,
,"0 0 4","Drift Angle                            ","Deg/180  ","?180",11,,0.09,25,50,,
,"0 0 5","Drift Angle                            ","Deg/180  ","?180",11,,0.09,25,50,,
,"0 3 8","Drift Angle                            ","Deg/180  ","?180",12,,0.05,25,50,,
,"0 5 6","Drift Angle","Deg/180  ","?180",12,,0.05,25,50,,
,"0 6 0","Drift Angle","Deg/180  ","?180",12,,0.05,25,50,,
,"1 0 A","Exhaust Gas Temperature (Total)        ","Deg C    ","-55 to 1100",11,,1,500,1000,,
,"1 0 B","Exhaust Gas Temperature (Total)        ","Deg C    ","-55 to 1100",11,,1,500,1000,,
,,,,,,,,,,,
"3 2 2","0 0 2","Flight Path Angle                      ","Deg/180  ",180,12,,0.05,25,50,,
,"0 0 4","Flight Path Angle                      ","Deg/180  ","?180",12,,0.05,25,50,,
,"0 0 5","Flight Path Angle                      ","Deg/180  ","?180",12,,0.05,25,50,,
,"0 3 8","Flight Path Angle                      ","Deg/180  ","?180",12,,0.05,25,50,,
,"0 5 6","Flight Path Angle","Deg/180  ",180,12,,0.05,25,50,,
,"0 6 0","Flight Path Angle","Deg/180  ",180,12,,0.05,25,50,,
,"1 0 A","Total Compressor Discharge Temp ","Deg C    ","-55 to 650",11,,0.5,500,1000,,
,"1 0 B","Total Compressor Discharge Temp ","Deg C    ","-55 to 650",11,,0.5,500,1000,,
,,,,,,,,,,,
"3 2 3","0 0 2","Geometric Altitude","Feet",50000,17,,1,,,,
,"0 0 4","Flight Path Acceleration               ","g        ",4,12,,0.001,10,20,,06/27/13
,"0 0 5","Flight Path Acceleration               ","g        ",4,12,,0.001,10,20,,
,"0 3 8","Flight Path Acceleration               ","g        ",4,12,,0.001,10,20,,
,"0 5 6","Geometric Altitude","Feet",50000,17,,1,,,,
,"0 6 0","Geometric Altitude","Feet",50000,17,,1,,,,
,"1 0 A","Variable Stator Vane Position          ","%        ","-5 to 105",11,,0.063,500,1000,,
,"1 0 B","Variable Stator Vane Position          ","%        ","-5 to 105",11,,0.063,500,1000,,
,,,,,,,,,,,
"3 2 4","0 0 4","Pitch Angle                            ","Deg/180  ","?180",14,,0.01,10,20,,
,"0 0 5","Pitch Angle                            ","Deg/180  ","?180",14,,0.01,10,20,,
,"0 2 5","Pitch Angle                            ","Deg/180  ","?180",10,,0.2,125,250,,
,"0 3 8","Pitch Angle                            ","Deg/180  ","?180",14,,0.01,10,20,,
,"0 4 D","Tank VSO Quantity","Gal.",32768,15,,1,"TBD","TBD",,"See Att. 6 for SDI encoding"
,"0 5 A","Effective Pitch Angle","Deg./180","?180",14,,0.01,,,,
,"1 0 A","Selected Fuel Metering Valve Pos","%        ","-5 to 105",11,,0.063,62.5,250,,
,"1 0 B","Selected Fuel Metering Valve Pos","%        ","-5 to 105",11,,0.063,62.5,250,,
,"1 1 4","Effective Pitch Angle","Deg","?180",13,,0.02,,,,
,,,,,,,,,,,
"3 2 5","0 0 4","Roll Angle                              ","Deg/180  ","?180",14,,0.01,10,20,,
,"0 0 5","Roll Angle                              ","Deg/180  ","?180",14,,0.01,10,20,,
,"0 1 A","Engine Control Trim Feedback            ","         ",,,,,,,,
,"0 2 5","Roll Angle                              ","Deg/180  ","?180",10,,0.2,125,250,,
,"0 2 F","Stator Vane Feedback                    ","Inches   ",4,12,,0.001,100,200,,
,"0 3 8","Roll Angle                              ","Deg/180  ","?180",14,,0.01,10,20,,
,"0 3 F","Stator Vane Feedback                    ","Inches   ",4,12,,0.001,100,200,,
,"0 5 A","Effective Roll Angle","Deg/180","?180",14,,0.01,,,,
,"1 0 A","Selected Variable Stator Vane Pos ","%        ","-5 to 105",11,,0.063,62.5,250,,
,"1 0 B","Selected Variable Stator Vane Pos  ","%        ","-5 to 105",11,,0.063,62.5,250,,
,"1 1 4","Effective Roll Angle","Deg","?180",13,,0.02,,,,
,,,,,,,,,,,
"3 2 6","0 0 4","Body Pitch Rate                         ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 0 5","Body Pitch Rate                         ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 3 8","Body Pitch Rate                         ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 4 D","Uplift Quantity","Lbs",1638400,14,,100,"TBD","TBD",,
,"1 0 A","Compressor Discharge Static Press    ","PSIA     ",05/01/00,11,,1,500,1000,,
,"1 0 B","Compressor Discharge Static Press    ","PSIA     ",05/01/00,11,,1,500,1000,,
,,,,,,,,,,,
"3 2 7","0 0 4","Body Roll Rate                          ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 0 5","Body Roll Rate                          ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 3 8","Body Roll Rate                          ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 4 D","Uplift Density","Lbs/Gal",8.181,13,,0.001,"TBD","TBD",,
,"1 0 A","Fuel Metering Valve Position            ","%        ","-5 to 105",11,,0.063,500,1000,,
,"1 0 B","Fuel Metering Valve Position            ","%        ","-5 to 105",11,,0.063,500,1000,,
,,,,,,,,,,,
"3 3 0","0 0 4","Body Yaw Rate                           ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 0 5","Body Yaw Rate                           ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 2 F","HC/TC Cooling Valve Pos. Feedback       ","%        ",128,12,"OPEN",0.03,100,200,,
,"0 3 8","Body Yaw Rate                           ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 3 F","HC/TC Cooling Valve Pos. Feedback       ","%        ",128,12,"OPEN",0.03,100,200,,
,"1 0 A","Selected HPT Clearance Valve Position   ","%        ","-5 to 105",11,,0.063,250,1000,,
,"1 0 B","Selected HPT Clearance Valve Pos   ","%        ","-5 to 105",11,,0.063,250,1000,,
,,,,,,,,,,,
"3 3 1","0 0 4","Body Longitudinal Acceleration          ","g        ",4,12,,0.001,10,20,,
,"0 0 5","Body Longitudinal Acceleration          ","g        ",4,12,,0.001,10,20,,
,"0 2 F","LTC Cooling Valve Pos. Feedback         ","%        ",128,12,"OPEN",0.03,100,200,,
,"0 3 8","Body Longitudinal Acceleration          ","g        ",4,12,,0.001,10,20,,
,"0 3 F","LTC Cooling Valve Pos. Feedback         ","%        ",128,12,"OPEN",0.03,100,200,,
,"1 0 A","Selected LPT Clearance Valve Pos   ","%        ","-5 to 105",11,,0.063,250,1000,,
,"1 0 B","Selected LPT Clearance Valve ","%        ","-5 to 105",11,,0.063,250,1000,,
,,,,,,,,,,,
"3 3 2","0 0 4","Body Lateral Acceleration               ","g        ",4,12,,0.001,10,20,,
,"0 0 5","Body Lateral Acceleration               ","g        ",4,12,,0.001,10,20,,
,"0 2 F","A/O Heat Xchr Valve Pos. Feedback       ","%        ",128,12,"OPEN",0.03,100,200,,
,"0 3 8","Body Lateral Acceleration               ","g        ",4,12,,0.001,10,20,,
,"0 3 F","A/O Heat Xchr Valve Pos. Feedback       ","%        ",128,12,"OPEN",0.03,100,200,,
,,,,,,,,,,,
"3 3 3","0 0 4","Body Normal Acceleration                ","g        ",4,12,,0.001,10,20,,
,"0 0 5","Body Normal Acceleration                ","g        ",4,12,,0.001,10,20,,
,"0 2 F","Acceleration Fuel Flow Limit            ","Lb/Hr    ",32768,12,,8,100,200,,
,"0 3 8","Body Normal Acceleration                ","g        ",4,12,,0.001,10,20,,
,"0 3 F","Acceleration Fuel Flow Limit            ","Lb/Hr    ",32768,12,,8,100,200,,
,,,,,,,,,,,
"3 3 4","0 0 4","Platform Heading                        ","Deg/180  ","?180",11,,0.09,20,40,,
,"0 0 5","Platform Heading                        ","Deg/180  ","?180",11,,0.09,20,40,,
,"0 2 F","Fuel Flow Command                       ","Lb/Hr    ",32768,12,,8,100,200,,
,"0 3 8","Platform Heading                        ","Deg/180  ","?180",11,,0.09,20,40,,
,"0 3 F","Fuel Flow Command                       ","Lb/Hr    ",32768,12,,8,100,200,,
,,,,,,,,,,,
"3 3 5","0 0 2","Track Angle Rate","Deg/Sec",32,11,,0.015,10,20,,
,"0 0 4","Track Angle Rate                        ","Deg/Sec  ",32,11,,0.015,10,20,,
,"0 0 5","Track Angle Rate                        ","Deg/Sec  ",32,11,,0.015,10,20,,
,"0 2 F","2.5 BLD Actuator Position               ","%        ",128,12,,0.031,100,200,,
,"0 3 8","Track Angle Rate                        ","Deg/Sec  ",32,11,,0.015,10,20,,
,"0 3 F","2.5 BLD Actuator Position               ","%        ",128,12,,0.031,100,200,,
,"0 5 6","Track Angle Rate","Deg/Sec",32,11,,0.015,10,20,,
,"0 6 0","Track Angle Rate","Deg/Sec",32,11,,0.015,10,20,,
,"1 0 A","Selected Variable Bleed Valve Pos  ","%        ","-5 to 105",11,,0.063,100,500,,
,"1 0 B","Selected Variable Bleed Valve Pos  ","%        ","-5 to 105",11,,0.063,100,500,,
,,,,,,,,,,,
"3 3 6","0 0 2","Max Climb Angle                         ","Deg ",32,15,"Climb",0.001,100,200,,
,"0 0 4","Inertial Pitch Rate                     ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 0 5","Inertial Pitch Rate                     ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 1 A","Engine Torque                           ","%        ",256,12,,0.063,100,200,,
,"0 2 F","N2 Corrected to Sta 2.5                 ","%        ",128,12,,0.031,100,200,,
,"0 3 8","Inertial Pitch Rate                     ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 3 F","N2 Corrected to Sta 2.5                 ","%        ",128,12,,0.031,100,200,,
,"1 0 A","Variable Bleed Valve Position           ","%        ","-5 to 105",11,,0.063,500,1000,,
